K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K03943,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K03943,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K03943,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K03943,5016,Human Diseases,Neurodegenerative disease,Huntington disease 
K03943,5020,Human Diseases,Neurodegenerative disease,Prion disease 
K03955,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K03955,4932,Human Diseases,Endocrine and metabolic disease,Non-alcoholic fatty liver disease 
K03955,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03955,4714,Organismal Systems,Environmental adaptation ,Thermogenesis 
K03955,4723,Organismal Systems,Nervous system,Retrograde endocannabinoid signaling 
K03955,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
K03955,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K03955,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K03955,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K03955,5016,Human Diseases,Neurodegenerative disease,Huntington disease 
K03955,5020,Human Diseases,Neurodegenerative disease,Prion disease 
K04019,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K04020,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K04021,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K04022,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K04022,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K04032,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04034,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04035,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04036,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04037,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04038,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04039,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04040,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K04041,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K04041,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K04041,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K04041,680,Metabolism ,Energy metabolism,Methane metabolism 
K04041,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K04042,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K04042,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K04043,4212,Organismal Systems,Aging,Longevity regulating pathway - worm 
K04043,3018,Genetic Information Processing ,Folding,RNA degradation 
K04043,5152,Human Diseases,Infectious disease: bacterial ,Tuberculosis 
K04056,3070,Environmental Information Processing,Membrane transport ,Bacterial secretion system 
K04057,3070,Environmental Information Processing,Membrane transport ,Bacterial secretion system 
K04058,3070,Environmental Information Processing,Membrane transport ,Bacterial secretion system 
K04059,3070,Environmental Information Processing,Membrane transport ,Bacterial secretion system 
K04066,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K04067,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K04072,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K04072,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K04072,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K04072,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K04072,5146,Human Diseases,Infectious disease: parasitic,Amoebiasis 
K04072,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K04072,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K04072,626,Metabolism ,Xenobiotics biodegradation and metabolism,Naphthalene degradation 
K04073,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K04073,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K04073,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K04073,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04073,622,Metabolism ,Xenobiotics biodegradation and metabolism,Xylene degradation 
K04073,621,Metabolism ,Xenobiotics biodegradation and metabolism,Dioxin degradation 
K04077,4212,Organismal Systems,Aging,Longevity regulating pathway - worm 
K04077,5417,Human Diseases,Cardiovascular disease,Lipid and atherosclerosis 
K04077,4940,Human Diseases,Endocrine and metabolic disease,Type I diabetes mellitus 
K04077,3018,Genetic Information Processing ,Folding,RNA degradation 
K04077,5152,Human Diseases,Infectious disease: bacterial ,Tuberculosis 
K04077,5134,Human Diseases,Infectious disease: bacterial ,Legionellosis 
K04079,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K04079,5215,Human Diseases,Cancer: specific types ,Prostate cancer 
K04079,5418,Human Diseases,Cardiovascular disease,Fluid shear stress and atherosclerosis 
K04079,5417,Human Diseases,Cardiovascular disease,Lipid and atherosclerosis 
K04079,4217,Cellular Processes ,Cell growth and death,Necroptosis 
K04079,4915,Organismal Systems,Endocrine system,Estrogen signaling pathway 
K04079,4914,Organismal Systems,Endocrine system,Progesterone-mediated oocyte maturation 
K04079,4626,Organismal Systems,Environmental adaptation ,Plant-pathogen interaction 
K04079,4141,Genetic Information Processing ,Folding,Protein processing in endoplasmic reticulum 
K04079,4621,Organismal Systems,Immune system ,NOD-like receptor signaling pathway 
K04079,4657,Organismal Systems,Immune system ,IL-17 signaling pathway 
K04079,4659,Organismal Systems,Immune system ,Th17 cell differentiation 
K04079,4612,Organismal Systems,Immune system ,Antigen processing and presentation 
K04079,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K04079,4151,Environmental Information Processing,Signal transduction,PI3K-Akt signaling pathway 
K04085,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K04091,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K04092,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K04093,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K04097,5204,Human Diseases,Cancer: overview ,Chemical carcinogenesis 
K04097,590,Metabolism ,Lipid metabolism,Arachidonic acid metabolism 
K04097,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K04097,980,Metabolism ,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450 
K04097,982,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450 
K04098,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04098,361,Metabolism ,Xenobiotics biodegradation and metabolism,Chlorocyclohexane and chlorobenzene degradation 
K04099,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04100,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04100,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04100,624,Metabolism ,Xenobiotics biodegradation and metabolism,Polycyclic aromatic hydrocarbon degradation 
K04101,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04101,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04101,624,Metabolism ,Xenobiotics biodegradation and metabolism,Polycyclic aromatic hydrocarbon degradation 
K04102,624,Metabolism ,Xenobiotics biodegradation and metabolism,Polycyclic aromatic hydrocarbon degradation 
K04103,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K04105,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04105,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04107,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04107,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04108,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04108,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04109,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04109,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04110,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04110,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K04112,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04113,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04114,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04115,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04116,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04117,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K04126,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K04127,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K04128,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K04333,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K04334,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K04335,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K04336,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K04342,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K04478,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K04480,680,Metabolism ,Energy metabolism,Methane metabolism 
K04482,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K04482,5212,Human Diseases,Cancer: specific types ,Pancreatic cancer 
K04482,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K04482,3460,Genetic Information Processing ,Replication and Repair ,Fanconi anemia pathway 
K04486,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K04487,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K04487,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K04490,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K04490,5225,Human Diseases,Cancer: specific types ,Hepatocellular carcinoma 
K04490,5215,Human Diseases,Cancer: specific types ,Prostate cancer 
K04490,5210,Human Diseases,Cancer: specific types ,Colorectal cancer 
K04490,5226,Human Diseases,Cancer: specific types ,Gastric cancer 
K04490,5224,Human Diseases,Cancer: specific types ,Breast cancer 
K04490,5221,Human Diseases,Cancer: specific types ,Acute myeloid leukemia 
K04490,5213,Human Diseases,Cancer: specific types ,Endometrial cancer 
K04490,5217,Human Diseases,Cancer: specific types ,Basal cell carcinoma 
K04490,5216,Human Diseases,Cancer: specific types ,Thyroid cancer 
K04490,5412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy 
K04490,4520,Cellular Processes ,Cellular community - eukaryotes,Adherens junction 
K04490,4934,Human Diseases,Endocrine and metabolic disease,Cushing syndrome 
K04490,4916,Organismal Systems,Endocrine system,Melanogenesis 
K04490,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K04490,5165,Human Diseases,Infectious disease: viral ,Human papillomavirus infection 
K04490,5167,Human Diseases,Infectious disease: viral ,Kaposi sarcoma-associated herpesvirus infection 
K04490,4310,Environmental Information Processing,Signal transduction,Wnt signaling pathway 
K04490,4390,Environmental Information Processing,Signal transduction,Hippo signaling pathway 
K04496,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K04496,5220,Human Diseases,Cancer: specific types ,Chronic myeloid leukemia 
K04496,4310,Environmental Information Processing,Signal transduction,Wnt signaling pathway 
K04496,4330,Environmental Information Processing,Signal transduction,Notch signaling pathway 
K04515,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K04515,5205,Human Diseases,Cancer: overview ,Proteoglycans in cancer 
K04515,5214,Human Diseases,Cancer: specific types ,Glioma 
K04515,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K04515,5417,Human Diseases,Cardiovascular disease,Lipid and atherosclerosis 
K04515,4217,Cellular Processes ,Cell growth and death,Necroptosis 
K04515,4114,Cellular Processes ,Cell growth and death,Oocyte meiosis 
K04515,4261,Organismal Systems,Circulatory system,Adrenergic signaling in cardiomyocytes 
K04515,4360,Organismal Systems,Development and regeneration,Axon guidance 
K04515,4971,Organismal Systems,Digestive system,Gastric acid secretion 
K04515,4934,Human Diseases,Endocrine and metabolic disease,Cushing syndrome 
K04515,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K04515,4921,Organismal Systems,Endocrine system,Oxytocin signaling pathway 
K04515,4911,Organismal Systems,Endocrine system,Insulin secretion 
K04515,4916,Organismal Systems,Endocrine system,Melanogenesis 
K04515,4912,Organismal Systems,Endocrine system,GnRH signaling pathway 
K04515,4925,Organismal Systems,Endocrine system,Aldosterone synthesis and secretion 
K04515,4713,Organismal Systems,Environmental adaptation ,Circadian entrainment 
K04515,5152,Human Diseases,Infectious disease: bacterial ,Tuberculosis 
K04515,4728,Organismal Systems,Nervous system,Dopaminergic synapse 
K04515,4720,Organismal Systems,Nervous system,Long-term potentiation 
K04515,4722,Organismal Systems,Nervous system,Neurotrophin signaling pathway 
K04515,4725,Organismal Systems,Nervous system,Cholinergic synapse 
